# Goxel 0.10.8
# One line per voxel
# X Y Z RRGGBB
0 -10 0 ffffff
1 -9 0 ffffff
2 -9 0 ffffff
2 -8 0 ffffff
3 -8 0 ffffff
3 -7 0 ffffff
4 -6 0 ffffff
4 -5 0 ffffff
4 -4 0 ffffff
4 -3 0 ffffff
4 -2 0 ffffff
7 -2 0 6abe30
8 -2 0 6abe30
4 -1 0 ffffff
-1 -10 0 ffffff
-5 -9 0 ffffff
-4 -9 0 ffffff
-3 -9 0 ffffff
-2 -9 0 ffffff
-1 -9 0 ffffff
-6 -8 0 ffffff
-5 -8 0 ffffff
-7 -7 0 ffffff
-6 -7 0 ffffff
-8 -6 0 ffffff
-7 -6 0 ffffff
-8 -5 0 ffffff
-8 -4 0 ffffff
-8 -3 0 ffffff
-8 -2 0 ffffff
-4 -2 0 6abe30
-3 -2 0 6abe30
-2 -2 0 6abe30
-1 -2 0 6abe30
-8 -1 0 ffffff
-6 -1 0 6abe30
-5 -1 0 6abe30
-4 -1 0 6abe30
-2 -1 0 ffffff
-1 -1 0 ffffff
-2 -1 1 6abe30
-1 -1 1 6abe30
-7 0 0 ffffff
-6 0 0 ffffff
-5 0 0 ffffff
-4 0 0 ffffff
-3 0 0 ffffff
-2 0 0 ffffff
-4 1 0 6abe30
-4 2 0 6abe30
-1 3 0 ffffff
-2 4 0 ffffff
-9 5 0 ffffff
-8 5 0 ffffff
-7 5 0 ffffff
-6 5 0 ffffff
-5 5 0 ffffff
-4 5 0 ffffff
-3 5 0 ffffff
-11 6 0 ffffff
-10 6 0 ffffff
-9 6 0 ffffff
-5 0 1 6abe30
-4 0 1 6abe30
-2 0 1 6abe30
-4 1 1 6abe30
3 0 0 ffffff
1 1 0 ffffff
2 1 0 ffffff
0 2 0 ffffff
