# Goxel 0.10.8
# One line per voxel
# X Y Z RRGGBB
0 0 0 ffffff
1 0 0 ffffff
2 0 0 ffffff
3 0 0 ffffff
0 1 0 ffffff
1 1 0 ffffff
2 1 0 ffffff
3 1 0 ffffff
0 2 0 ffffff
1 2 0 ffffff
2 2 0 ffffff
0 3 0 ffffff
1 3 0 ffffff
2 3 0 ffffff
0 4 0 ffffff
1 4 0 ffffff
2 4 0 ffffff
0 5 0 ffffff
1 5 0 ffffff
0 6 0 ffffff
1 6 0 ffffff
0 7 0 ffffff
1 7 0 ffffff
0 8 0 ffffff
1 8 0 ffffff
0 1 1 ffffff
1 1 1 ffffff
0 2 1 ffffff
1 2 1 ffffff
0 3 1 ffffff
0 1 2 ffffff
-1 -4 0 ffffff
-3 -3 0 ffffff
-2 -3 0 ffffff
-1 -3 0 ffffff
-3 -2 0 ffffff
-2 -2 0 ffffff
-1 -2 0 ffffff
-3 -1 0 ffffff
-2 -1 0 ffffff
-1 -1 0 ffffff
-2 0 0 ffffff
-1 0 0 ffffff
-2 1 0 ffffff
-3 2 0 ffffff
-2 2 0 ffffff
-3 3 0 ffffff
-3 4 0 ffffff
-3 5 0 ffffff
-1 1 1 ffffff
-1 2 1 ffffff
0 -4 0 ffffff
0 -3 0 ffffff
0 -2 0 ffffff
1 -2 0 ffffff
0 -1 0 ffffff
1 -1 0 ffffff
2 -1 0 ffffff
3 -1 0 ffffff
